Price,Model,Specs
"NPR88,000",MSI Modern 14 B11M i5 10th Gen,"Intel UHD/8GB RAM/512GB SSD/14"" FHD Display"
"NPR112,000",MSI Modern 14 A11M i5 11th Gen,"Iris Xe Graphics/8GB RAM/512GB SSD/14"" FHD Display"
"NPR112,000",MSI Modern 15 A11M i5 11th Gen,"Iris Xe Graphics/8GB RAM/512GB SSD/15.6"" FHD Display"
"NPR130,000",MSI Summit B15 A11M i5 11th Gen,"Iris Xe Graphics/8GB RAM/512GB SSD/15.6"" FHD Display"
"NPR132,000",MSI Modern 15 A11SB i5 11th Gen,"MX450/8GB RAM/512GB SSD/15.6"" FHD Display"
"NPR136,000",MSI Modern 14 A10RB i7 10TH GEN,"8GB RAM/512GB SSD/MX250/15.6"" FHD"
"NPR145,000",MSI GF63 Thin 10SCXR i7 10TH GEN,"GTX 1650/8GB RAM/512GB SSD/15.6"" FHD"
"NPR147,000",MSI Modern 15 A11SB i7 11th Gen,"MX450/8GB RAM/512GB SSD/15.6"" FHD Display"
"NPR160,000",MSI GF65 Thin 10SDR Gaming Laptop,"i7-10750H/GTX 1660 Ti/8GB RAM/512GB SSD/15.6"" FHD 120Hz display"
"NPR180,000",MSI GF65 Thin 10UE Gaming Laptop,"i7-10750H/RTX 3060/8GB RAM/512GB SSD/15.6"" FHD 144Hz display"
"NPR192,000",MSI GL65 Leopard 10SDR Gaming Laptop,"i7-10750H/GTX 1660 Ti/16GB RAM/512GB SSD/15.6"" FHD 144Hz display"
"NPR243,500",MSI Prestige 15 A11SCX i7 11th Gen,"GTX 1650 Ti/16GB RAM/1TB SSD/15.6"" FHD Display"
